From	Entry	Reviewed	Entry Name	Protein names
UBP47_MOUSE	Q8BY87	reviewed	UBP47_MOUSE	Ubiquitin carboxyl-terminal hydrolase 47 (EC 3.4.19.12) (Deubiquitinating enzyme 47) (Ubiquitin thioesterase 47) (Ubiquitin-specific-processing protease 47)
DPA1_HUMAN	P20036	reviewed	DPA1_HUMAN	HLA class II histocompatibility antigen, DP alpha 1 chain (DP(W3)) (DP(W4)) (HLA-SB alpha chain) (MHC class II DP3-alpha) (MHC class II DPA1)
TSC2_HUMAN	P49815	reviewed	TSC2_HUMAN	Tuberin (Tuberous sclerosis 2 protein)
GR05A_DROME	Q9W497	reviewed	GR05A_DROME	Gustatory receptor 5a for trehalose (Trehalose receptor)
BGH3_HUMAN	Q15582	reviewed	BGH3_HUMAN	Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3) (Kerato-epithelin) (RGD-containing collagen-associated protein) (RGD-CAP)
TRA1_SCHPO	Q9HFE8	reviewed	TRA1_SCHPO	Transcription-associated protein 1
DESP_MOUSE	E9Q557	reviewed	DESP_MOUSE	Desmoplakin (DP)
S27A3_HUMAN	Q5K4L6	reviewed	S27A3_HUMAN	Long-chain fatty acid transport protein 3 (FATP-3) (Fatty acid transport protein 3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain-fatty-acid--CoA ligase) (EC 6.2.1.3) (Solute carrier family 27 member 3) (Very long-chain acyl-CoA synthetase homolog 3) (VLCS-3) (EC 6.2.1.-)
ING1_HUMAN	Q9UK53	reviewed	ING1_HUMAN	Inhibitor of growth protein 1
RPS2_ARATH	Q42484	reviewed	RPS2_ARATH	Disease resistance protein RPS2 (Resistance to Pseudomonas syringae protein 2)
CSTM5_ARATH	Q1PEX8	reviewed	CSTM5_ARATH	Protein CYSTEINE-RICH TRANSMEMBRANE MODULE 5 (AthCYSTM5)
RENR_HUMAN	O75787	reviewed	RENR_HUMAN	Renin receptor (ATPase H(+)-transporting lysosomal accessory protein 2) (ATPase H(+)-transporting lysosomal-interacting protein 2) (ER-localized type I transmembrane adapter) (Embryonic liver differentiation factor 10) (N14F) (Renin/prorenin receptor) (Vacuolar ATP synthase membrane sector-associated protein M8-9) (ATP6M8-9) (V-ATPase M8.9 subunit) [Cleaved into: Renin receptor N-terminal fragment; Renin receptor C-terminal fragment]
DKC1_DANRE	F1Q749	reviewed	DKC1_DANRE	H/ACA ribonucleoprotein complex subunit DKC1 (EC 5.4.99.-) (Dyskerin)
PREX1_HUMAN	Q8TCU6	reviewed	PREX1_HUMAN	Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein (P-Rex1) (PtdIns(3,4,5)-dependent Rac exchanger 1)
EPC1_HUMAN	Q9H2F5	reviewed	EPC1_HUMAN	Enhancer of polycomb homolog 1
BRCC3_DANRE	A0A8M3B525	reviewed	BRCC3_DANRE	Lys-63-specific deubiquitinase (EC 3.4.19.-)
RFX7_MOUSE	F8VPJ6	reviewed	RFX7_MOUSE	DNA-binding protein RFX7 (Regulatory factor X 7)
PLEC_MOUSE	Q9QXS1	reviewed	PLEC_MOUSE	Plectin (PCN) (PLTN) (Plectin-1) (Plectin-6)
UPL1_ARATH	Q8GY23	reviewed	UPL1_ARATH	E3 ubiquitin-protein ligase UPL1 (Ubiquitin-protein ligase 1) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase UPL1)
RS23B_CANAL	A0A1D8PDU3	reviewed	RS23B_CANAL	Small ribosomal subunit protein uS12 (40S ribosomal protein S23B)
RHG17_HUMAN	Q68EM7	reviewed	RHG17_HUMAN	Rho GTPase-activating protein 17 (Rho-type GTPase-activating protein 17) (RhoGAP interacting with CIP4 homologs protein 1) (RICH-1)
UD2B4_HUMAN	P06133	reviewed	UD2B4_HUMAN	UDP-glucuronosyltransferase 2B4 (UDPGT 2B4) (UGT2B4) (EC 2.4.1.17) (HLUG25) (Hyodeoxycholic acid-specific UDPGT) (UDPGTh-1)
BC11A_HUMAN	Q9H165	reviewed	BC11A_HUMAN	B-cell lymphoma/leukemia 11A (BCL-11A) (B-cell CLL/lymphoma 11A) (COUP-TF-interacting protein 1) (Ecotropic viral integration site 9 protein homolog) (EVI-9) (Zinc finger protein 856)
IRA2_YEAST	P19158	reviewed	IRA2_YEAST	Inhibitory regulator protein IRA2
ERI2_DROME	Q95RQ4	reviewed	ERI2_DROME	3'-5' exonuclease Snipper (EC 3.1.15.-) (ERI1 exoribonuclease 2)
SIB1_SCHPO	Q9P7T1	reviewed	SIB1_SCHPO	Hydroxamate-type ferrichrome siderophore peptide synthetase (EC 6.-.-.-)
FXR1_DANRE	F1QLR3	reviewed	FXR1_DANRE	RNA-binding protein FXR1 (FMR1 autosomal homolog 1)
KANL1_HUMAN	Q7Z3B3	reviewed	KANL1_HUMAN	KAT8 regulatory NSL complex subunit 1 (MLL1/MLL complex subunit KANSL1) (MSL1 homolog 1) (hMSL1v1) (NSL complex protein NSL1) (Non-specific lethal 1 homolog)
DYH1_HUMAN	Q9P2D7	reviewed	DYH1_HUMAN	Dynein axonemal heavy chain 1 (Axonemal beta dynein heavy chain 1) (Ciliary dynein heavy chain 1) (Heat shock regulated protein 1) (HSRF-1) (hDHC7)
ALG13_HUMAN	Q9NP73	reviewed	ALG13_HUMAN	UDP-N-acetylglucosamine transferase subunit ALG13 (EC 2.4.1.141) (Asparagine-linked glycosylation 13 homolog) (Glycosyltransferase 28 domain-containing protein 1)
GRN_HUMAN	P28799	reviewed	GRN_HUMAN	Progranulin (PGRN) (Acrogranin) (Epithelin precursor) (Glycoprotein of 88 Kda) (GP88) (Glycoprotein 88) (Granulin precursor) (PC cell-derived growth factor) (PCDGF) (Proepithelin) (PEPI) [Cleaved into: Paragranulin; Granulin-1 (Granulin G); Granulin-2 (Granulin F); Granulin-3 (Epithelin-2) (Granulin B); Granulin-4 (Epithelin-1) (Granulin A); Granulin-5 (Granulin C); Granulin-6 (Granulin D); Granulin-7 (Granulin E)]
NCLN_HUMAN	Q969V3	reviewed	NCLN_HUMAN	BOS complex subunit NCLN (Nicalin) (Nicastrin-like protein)
HMCN2_MOUSE	A2AJ76	reviewed	HMCN2_MOUSE	Hemicentin-2
PAIP2_ARATH	F4KE59	reviewed	PAIP2_ARATH	Protein PARALOG OF AIPP2 (PHD finger-containing protein 2)
CD20B_XENLA	A0A1L8I2C5	reviewed	CD20B_XENLA	Cell division cycle protein 20 homolog B
SCHI1_MOUSE	P0DPB4	reviewed	SCHI1_MOUSE	Schwannomin-interacting protein 1 (SCHIP-1)
RARG_HUMAN	P13631	reviewed	RARG_HUMAN	Retinoic acid receptor gamma (RAR-gamma) (Nuclear receptor subfamily 1 group B member 3)
CCAP2_ARATH	O65370	reviewed	CCAP2_ARATH	Cytosolic calcium-binding protein 2 (Cytosolic Ca(2+)-binding protein 2)
CRP_DANRE	Q0IIP8	reviewed	CRP_DANRE	C-reactive protein (Dare-CRP) (Short-chain pentraxin) (Dare-PTX)
MNX1_RAT	M0R6D8	reviewed	MNX1_RAT	Motor neuron and pancreas homeobox 1 (Homeobox protein HB9)
HOBIT_DROME	Q9VZS7	reviewed	HOBIT_DROME	Protein hobbit (Bridge-like lipid transfer protein family member 2) (BLTP2)
CADN_DROME	O15943	reviewed	CADN_DROME	Neural-cadherin (Cadherin-N) (dN-cadherin)
GNAS2_HUMAN	P63092	reviewed	GNAS2_HUMAN	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (EC 3.6.5.-) (Adenylate cyclase-stimulating G alpha protein)
ZN185_HUMAN	O15231	reviewed	ZN185_HUMAN	Zinc finger protein 185 (LIM domain protein ZNF185) (P1-A)
LPXC5_ARATH	F4IAW1	reviewed	LPXC5_ARATH	Probable UDP-3-O-acyl-N-acetylglucosamine deacetylase 5, mitochondrial (UDP-3-O-acyl-GlcNAc deacetylase 5) (EC 3.5.1.108) (Protein LIPID X C5) (AtLpxC5) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase 5)
DMXL2_HUMAN	Q8TDJ6	reviewed	DMXL2_HUMAN	DmX-like protein 2 (Rabconnectin-3)
CATC_HUMAN	P53634	reviewed	CATC_HUMAN	Dipeptidyl peptidase 1 (EC 3.4.14.1) (Cathepsin C) (Cathepsin J) (Dipeptidyl peptidase I) (DPP-I) (DPPI) (Dipeptidyl transferase) [Cleaved into: Dipeptidyl peptidase 1 exclusion domain chain (Dipeptidyl peptidase I exclusion domain chain); Dipeptidyl peptidase 1 heavy chain (Dipeptidyl peptidase I heavy chain); Dipeptidyl peptidase 1 light chain (Dipeptidyl peptidase I light chain)]
PUMPK_ARATH	Q9LSA9	reviewed	PUMPK_ARATH	Uridylate kinase PUMPKIN, chloroplastic (EC 2.7.4.22) (Plastid UMP kinase) (Protein DEFECT IN PSAA/B TRANSCRIPT ACCUMULATION 1) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
SIM43_MOUSE	A0A286YD83	reviewed	SIM43_MOUSE	Small integral membrane protein 43 (Nodal enhanced mesendoderm micropeptide) (NEMEP)
DESPB_DANRE	A0A8M9PQ61	reviewed	DESPB_DANRE	Desmoplakin-B (Desmoplakin isoform X1)
IOD2_RAT	P70551	reviewed	IOD2_RAT	Type II iodothyronine deiodinase (EC 1.21.99.4) (5DII) (DIOII) (Type 2 DI) (Type-II 5'-deiodinase)
MOT9_RAT	M0RCI4	reviewed	MOT9_RAT	Monocarboxylate transporter 9 (MCT 9) (Solute carrier family 16 member 9)
ERG5_CANAL	G1UB11	reviewed	ERG5_CANAL	C-22 sterol desaturase ERG5 (EC 1.14.19.41) (Cytochrome P450 61) (Ergosterol biosynthetic protein 5)
PSRP_STRPN	A0A0H2URK1	reviewed	PSRP_STRPN	Pneumococcal serine-rich repeat protein (PsrP) (Adhesin PsrP) (Serine-rich repeat protein PsrP)
CELF1_MOUSE	P28659	reviewed	CELF1_MOUSE	CUGBP Elav-like family member 1 (CELF-1) (50 kDa nuclear polyadenylated RNA-binding protein) (Brain protein F41) (Bruno-like protein 2) (CUG triplet repeat RNA-binding protein 1) (CUG-BP1) (CUG-BP- and ETR-3-like factor 1) (Deadenylation factor CUG-BP) (Deadenylation factor EDEN-BP) (Embryo deadenylation element-binding protein homolog) (EDEN-BP homolog) (RNA-binding protein BRUNOL-2)
TEX15_MOUSE	F8VPN2	reviewed	TEX15_MOUSE	Testis-expressed protein 15
SYTL2_MOUSE	Q99N50	reviewed	SYTL2_MOUSE	Synaptotagmin-like protein 2 (Exophilin-4)
BD1L1_HUMAN	Q8NFC6	reviewed	BD1L1_HUMAN	Biorientation of chromosomes in cell division protein 1-like 1
VPS16_DROME	Q9VHG1	reviewed	VPS16_DROME	Vacuolar protein sorting-associated protein 16 homolog (Protein maroon)
UPAR_HUMAN	Q03405	reviewed	UPAR_HUMAN	Urokinase plasminogen activator surface receptor (U-PAR) (uPAR) (Monocyte activation antigen Mo3) (CD antigen CD87)
DHX15_DROME	Q7K3M5	reviewed	DHX15_DROME	ATP-dependent RNA helicase DHX15 homolog (EC 3.6.4.13)
ELP2_HUMAN	Q6IA86	reviewed	ELP2_HUMAN	Elongator complex protein 2 (ELP2) (SHINC-2) (STAT3-interacting protein 1) (StIP1)
SGG_DROME	P18431	reviewed	SGG_DROME	Protein kinase shaggy (EC 2.7.11.1) (Protein zeste-white 3)
NUSAP_HUMAN	Q9BXS6	reviewed	NUSAP_HUMAN	Nucleolar and spindle-associated protein 1 (NuSAP)
CELF2_MOUSE	Q9Z0H4	reviewed	CELF2_MOUSE	CUGBP Elav-like family member 2 (CELF-2) (Bruno-like protein 3) (CUG triplet repeat RNA-binding protein 2) (CUG-BP2) (CUG-BP- and ETR-3-like factor 2) (ELAV-type RNA-binding protein 3) (ETR-3) (mETR-3) (Neuroblastoma apoptosis-related RNA-binding protein) (mNapor) (RNA-binding protein BRUNOL-3)
FLAP1_ARATH	Q8RWI0	reviewed	FLAP1_ARATH	FLUCTUATING-LIGHT-ACCLIMATION protein 1, chloroplastic
IQCN_MOUSE	A0A1D5RMD1	reviewed	IQCN_MOUSE	IQ domain-containing protein N
CP26C_MOUSE	B2RXA7	reviewed	CP26C_MOUSE	Cytochrome P450 26C1 (Cyp26c1) (EC 1.14.14.1) (Cytochrome P450, family 26, subfamily c, polypeptide 1)
SZT2_MOUSE	A2A9C3	reviewed	SZT2_MOUSE	KICSTOR complex protein SZT2 (Seizure threshold 2 protein) (Transcript increased in glutamate resistance) (TIGR)
ADDB_HUMAN	P35612	reviewed	ADDB_HUMAN	Beta-adducin (Erythrocyte adducin subunit beta)
PDXD1_HUMAN	Q6P996	reviewed	PDXD1_HUMAN	Pyridoxal-dependent decarboxylase domain-containing protein 1 (EC 4.1.1.-)
IL23R_HUMAN	Q5VWK5	reviewed	IL23R_HUMAN	Interleukin-23 receptor (IL-23 receptor) (IL-23R)
BHP_ARATH	Q93Z30	reviewed	BHP_ARATH	Serine/threonine-protein kinase 12 (EC 2.7.11.1) (Protein BLUE LIGHT-DEPENDENT H(+)-ATPASE PHOSPHORYLATION)
LDLR_HUMAN	P01130	reviewed	LDLR_HUMAN	Low-density lipoprotein receptor (LDL receptor)
PIEZ2_MOUSE	Q8CD54	reviewed	PIEZ2_MOUSE	Piezo-type mechanosensitive ion channel component 2 (Protein FAM38B)
KCNAS_DROME	P08510	reviewed	KCNAS_DROME	Potassium voltage-gated channel protein Shaker (Protein minisleep)
RIMS2_RAT	Q9JIS1	reviewed	RIMS2_RAT	Regulating synaptic membrane exocytosis protein 2 (Rab-3-interacting molecule 2) (RIM 2)
TNR6_HUMAN	P25445	reviewed	TNR6_HUMAN	Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95)
LDB3_MOUSE	Q9JKS4	reviewed	LDB3_MOUSE	LIM domain-binding protein 3 (Protein cypher) (Protein oracle) (Z-band alternatively spliced PDZ-motif protein)
HSP73_DROME	Q9BIS2	reviewed	HSP73_DROME	Major heat shock 70 kDa protein Bb (Heat shock protein 70Bb) (HSP70-87C1)
EGRAP_DROME	Q6NR09	reviewed	EGRAP_DROME	EGFR adapter protein
FZD5_DANRE	B3DIG4	reviewed	FZD5_DANRE	Frizzled-5 (Fz-5)
MASP2_RAT	Q9JJS8	reviewed	MASP2_RAT	Mannan-binding lectin serine protease 2 (EC 3.4.21.104) (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2) (MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain]
TPM4_HUMAN	P67936	reviewed	TPM4_HUMAN	Tropomyosin alpha-4 chain (TM30p1) (Tropomyosin-4)
VNN2_HUMAN	O95498	reviewed	VNN2_HUMAN	Pantetheine hydrolase VNN2 (EC 3.5.1.92) (Glycosylphosphatidyl inositol-anchored protein GPI-80) (Protein FOAP-4) (Vascular non-inflammatory molecule 2) (Vanin-2)
R27AB_ARATH	P59232	reviewed	R27AB_ARATH	Ubiquitin-ribosomal protein eS31y fusion protein [Cleaved into: Ubiquitin; Small ribosomal subunit protein eS31y (40S ribosomal protein S27a-2)]
GPX3_RAT	P23764	reviewed	GPX3_RAT	Glutathione peroxidase 3 (GPx-3) (GSHPx-3) (EC 1.11.1.9) (Plasma glutathione peroxidase) (GPx-P) (GSHPx-P)
GPHRA_HUMAN	B7ZAQ6	reviewed	GPHRA_HUMAN	Golgi pH regulator A (Protein GPR89A) (Putative MAPK-activating protein PM01) (Putative NF-kappa-B-activating protein 90)
FACD2_DROME	Q8MYL1	reviewed	FACD2_DROME	Fanconi anemia group D2 protein homolog (Protein FACD2)
ROB1_CANAL	A0A1D8PFP2	reviewed	ROB1_CANAL	Transcription factor ROB1 (Regulator of biofilm 1)
EBP1_CANAL	A0A1D8PPK1	reviewed	EBP1_CANAL	Probable NADPH dehydrogenase (EC 1.6.99.1) (Estrogen-binding protein) (EBP)
ZMY11_HUMAN	Q15326	reviewed	ZMY11_HUMAN	Zinc finger MYND domain-containing protein 11 (Adenovirus 5 E1A-binding protein) (Bone morphogenetic protein receptor-associated molecule 1) (Protein BS69)
STEA3_HUMAN	Q658P3	reviewed	STEA3_HUMAN	Metalloreductase STEAP3 (EC 1.16.1.-) (Dudulin-2) (Six-transmembrane epithelial antigen of prostate 3) (Tumor suppressor-activated pathway protein 6) (hTSAP6) (pHyde) (hpHyde)
LRP1B_MOUSE	Q9JI18	reviewed	LRP1B_MOUSE	Low-density lipoprotein receptor-related protein 1B (LRP-1B) (Low-density lipoprotein receptor-related protein-deleted in tumor) (LRP-DIT)
STRA6_HUMAN	Q9BX79	reviewed	STRA6_HUMAN	Receptor for retinol uptake STRA6 (Retinol-binding protein receptor STRA6) (Stimulated by retinoic acid gene 6 protein homolog)
WIZ_HUMAN	O95785	reviewed	WIZ_HUMAN	Protein Wiz (Widely-interspaced zinc finger-containing protein) (Zinc finger protein 803)
SELK_HUMAN	Q9Y6D0	reviewed	SELK_HUMAN	Selenoprotein K (SelK)
KI21A_HUMAN	Q7Z4S6	reviewed	KI21A_HUMAN	Kinesin-like protein KIF21A (Kinesin-like protein KIF2) (Renal carcinoma antigen NY-REN-62)
PO2F1_MOUSE	P25425	reviewed	PO2F1_MOUSE	POU domain, class 2, transcription factor 1 (NF-A1) (Octamer-binding protein 1) (Oct-1) (Octamer-binding transcription factor 1) (OTF-1)
STX16_HUMAN	O14662	reviewed	STX16_HUMAN	Syntaxin-16 (Syn16)
OR22A_DROME	P81909	reviewed	OR22A_DROME	Odorant receptor 22a
DHU1_ARATH	Q8GYY7	reviewed	DHU1_ARATH	Protein DWD HYPERSENSITIVE TO UV-B 1
SMTN_HUMAN	P53814	reviewed	SMTN_HUMAN	Smoothelin
SEPT9_HUMAN	Q9UHD8	reviewed	SEPT9_HUMAN	Septin-9 (MLL septin-like fusion protein MSF-A) (MLL septin-like fusion protein) (Ovarian/Breast septin) (Ov/Br septin) (Septin D1)
CCD14_HUMAN	Q49A88	reviewed	CCD14_HUMAN	Coiled-coil domain-containing protein 14
AKIR2_XENLA	Q6GQB5	reviewed	AKIR2_XENLA	Akirin-2 (XAkirin2)
TPM3_HUMAN	P06753	reviewed	TPM3_HUMAN	Tropomyosin alpha-3 chain (Gamma-tropomyosin) (Tropomyosin-3) (Tropomyosin-5) (hTM5)
NALP5_MOUSE	Q9R1M5	reviewed	NALP5_MOUSE	NACHT, LRR and PYD domains-containing protein 5 (Maternal antigen that embryos require) (Mater protein) (Ooplasm-specific protein 1) (OP1)
GCN1_HUMAN	Q92616	reviewed	GCN1_HUMAN	Stalled ribosome sensor GCN1 (GCN1 eIF-2-alpha kinase activator homolog) (GCN1-like protein 1) (General control of amino-acid synthesis 1-like protein 1) (Translational activator GCN1) (HsGCN1)
POE_DROME	Q9VLT5	reviewed	POE_DROME	Protein purity of essence (Interaction calmodulin and colossal molecular mass protein) (Protein Calossin) (Protein pushover)
PK1L1_HUMAN	Q8TDX9	reviewed	PK1L1_HUMAN	Polycystin-1-like protein 1 (Polycystin-1L1) (PC1-like 1 protein) (Polycystic kidney disease protein 1-like 1)
EPIPL_HUMAN	P58107	reviewed	EPIPL_HUMAN	Epiplakin (450 kDa epidermal antigen)
OSBL9_HUMAN	Q96SU4	reviewed	OSBL9_HUMAN	Oxysterol-binding protein-related protein 9 (ORP-9) (OSBP-related protein 9)
DCR2_DROME	A1ZAW0	reviewed	DCR2_DROME	Endoribonuclease Dcr-2 (Protein Dicer-2) (EC 3.1.26.3)
MRP1_HUMAN	P33527	reviewed	MRP1_HUMAN	Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter)
DYH11_HUMAN	Q96DT5	reviewed	DYH11_HUMAN	Dynein axonemal heavy chain 11 (Axonemal beta dynein heavy chain 11) (Ciliary dynein heavy chain 11)
SRRT_HUMAN	Q9BXP5	reviewed	SRRT_HUMAN	Serrate RNA effector molecule homolog (Arsenite-resistance protein 2)
MON1_DROME	Q9VR38	reviewed	MON1_DROME	Vacuolar fusion protein MON1 homolog (Dmon1)
PKHL1_HUMAN	Q86WI1	reviewed	PKHL1_HUMAN	Fibrocystin-L (Polycystic kidney and hepatic disease 1-like protein 1) (PKHD1-like protein 1)
AMPD2_HUMAN	Q01433	reviewed	AMPD2_HUMAN	AMP deaminase 2 (EC 3.5.4.6) (AMP deaminase isoform L)
AKL2B_DANRE	E7FAP8	reviewed	AKL2B_DANRE	ALK and LTK ligand 2b (Augmentor alpha-2) (AUG-alpha-2)
CAD23_HUMAN	Q9H251	reviewed	CAD23_HUMAN	Cadherin-23 (Otocadherin)
